,loss,accuracy,val_loss,val_accuracy
0,0.3095186650753021,0.8654655814170837,0.20501749217510223,0.9248003959655762
1,0.2196798473596573,0.9157838225364685,0.20335404574871063,0.9266889691352844
2,0.19845834374427795,0.9263588786125183,0.16903173923492432,0.935874342918396
3,0.18279363214969635,0.9325501322746277,0.16127941012382507,0.943085253238678
4,0.17169877886772156,0.9362033605575562,0.154592826962471,0.9411108493804932
5,0.16327564418315887,0.939971923828125,0.15810000896453857,0.9431710839271545
6,0.15732969343662262,0.9416447281837463,0.15182358026504517,0.9388788938522339
7,0.15041771531105042,0.9440096616744995,0.13932622969150543,0.950982928276062
8,0.145701065659523,0.9463169574737549,0.13810348510742188,0.9466906785964966
9,0.14094676077365875,0.9475475549697876,0.12339712679386139,0.953472375869751
