,loss,accuracy,val_loss,val_accuracy
0,0.4467056393623352,0.7731546759605408,0.26098892092704773,0.8974161148071289
1,0.2563435435295105,0.8986906409263611,0.20023244619369507,0.9247145652770996
2,0.21354947984218597,0.9169566631317139,0.16788963973522186,0.936217725276947
3,0.19012129306793213,0.9269357323646545,0.15526030957698822,0.9419692754745483
4,0.17566995322704315,0.9326270222663879,0.15277287364006042,0.9407674670219421
5,0.16385647654533386,0.9375684857368469,0.14682640135288239,0.9454030394554138
6,0.15527716279029846,0.9418370127677917,0.13868524134159088,0.9487509727478027
7,0.14866861701011658,0.9438366293907166,0.14813561737537384,0.9478925466537476
8,0.142060324549675,0.946778416633606,0.14084313809871674,0.9481500387191772
9,0.13713546097278595,0.9483935236930847,0.1535874456167221,0.9440295100212097
