,loss,accuracy,val_loss,val_accuracy
0,0.3063330352306366,0.8705223798751831,0.20184452831745148,0.9254871606826782
1,0.208475261926651,0.9212636351585388,0.17930367588996887,0.9332131743431091
2,0.18234674632549286,0.9311080574989319,0.18648064136505127,0.9293501377105713
3,0.16330502927303314,0.9397027492523193,0.15312418341636658,0.943085253238678
4,0.14727163314819336,0.9457401633262634,0.16580446064472198,0.9402523636817932
5,0.13597729802131653,0.948720395565033,0.16043175756931305,0.9403382539749146
6,0.12424872815608978,0.9538733959197998,0.16319236159324646,0.9414542317390442
7,0.11117495596408844,0.9592955112457275,0.17349384725093842,0.9417117238044739
8,0.10195177048444748,0.961814284324646,0.18318146467208862,0.9369044303894043
9,0.09175356477499008,0.9662942886352539,0.1872478723526001,0.9382779598236084
