matrix,female,male,accuracy,macro avg,weighted avg
precision,0.9208434712084347,0.9700948212983224,0.9440295304317967,0.9454691462533785,0.9453993851342709
recall,0.9719226159904126,0.9159779614325069,0.9440295304317967,0.9439502887114597,0.9440295304317967
f1-score,0.9456938197567883,0.9422600070846617,0.9440295304317967,0.943976913420725,0.943981777178051
support,5841.0,5808.0,0.9440295304317967,11649.0,11649.0
