,Precision,Recall,BinaryAccuracy,ValAccuracy,models
0,0.6666667,0.5882353,0.625,0.9225680232048035,model_1
1,0.7037037,0.54285717,0.625,0.9343742728233337,model_2
2,0.6,0.5,0.5833333,0.9340339303016663,model_3
